2014-05-19 21:23:59 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:24:24 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:24:24 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:25:08 Notice: Notice (8): Undefined variable: output in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 47]
2014-05-19 21:25:08 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:25:08 Notice: Notice (8): Undefined variable: output in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 47]
2014-05-19 21:25:08 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:25:29 Notice: Notice (8): Undefined variable: output in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 47]
2014-05-19 21:25:29 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:25:29 Notice: Notice (8): Undefined variable: output in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 47]
2014-05-19 21:25:29 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:25:41 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:25:41 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:26:58 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:26:58 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:27:07 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:27:07 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:27:11 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:27:11 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:27:17 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:27:17 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:27:28 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:27:28 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:28:26 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:30:22 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:35:01 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-20 20:50:12 Notice: Notice (8): Undefined index:  nombre in [/Applications/MAMP/htdocs/svtour/svt/views/tags/index.ctp, line 14]
2014-05-20 20:50:12 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/svtour/svt/views/tags/index.ctp, line 22]
